event_id,user_id,event_name,timestamp
1,U-1,view_item,2026-05-01T12:46:00
2,U-2,view_item,2026-05-01T13:09:00
3,U-2,add_to_cart,2026-05-01T13:11:00
4,U-3,view_item,2026-05-01T13:13:00
5,U-4,view_item,2026-05-01T10:17:00
6,U-4,add_to_cart,2026-05-01T10:19:00
7,U-5,view_item,2026-05-01T18:49:00
8,U-6,view_item,2026-05-01T06:53:00
9,U-7,view_item,2026-05-01T20:54:00
10,U-8,view_item,2026-05-01T05:26:00
11,U-9,view_item,2026-05-01T23:17:00
12,U-9,add_to_cart,2026-05-01T23:19:00
13,U-9,start_checkout,2026-05-01T23:21:00
14,U-9,purchase,2026-05-01T23:23:00
15,U-10,view_item,2026-05-01T14:32:00
16,U-11,view_item,2026-05-01T03:56:00
17,U-11,add_to_cart,2026-05-01T03:58:00
18,U-12,view_item,2026-05-01T14:44:00
19,U-13,view_item,2026-05-01T14:49:00
20,U-13,add_to_cart,2026-05-01T14:51:00
21,U-13,start_checkout,2026-05-01T14:53:00
22,U-13,purchase,2026-05-01T14:55:00
23,U-14,view_item,2026-05-01T18:26:00
24,U-14,add_to_cart,2026-05-01T18:28:00
25,U-14,start_checkout,2026-05-01T18:30:00
26,U-14,purchase,2026-05-01T18:32:00
27,U-15,view_item,2026-05-01T20:34:00
28,U-16,view_item,2026-05-01T02:43:00
29,U-16,add_to_cart,2026-05-01T02:45:00
30,U-17,view_item,2026-05-01T11:46:00
31,U-18,view_item,2026-05-01T01:09:00
32,U-18,add_to_cart,2026-05-01T01:11:00
33,U-19,view_item,2026-05-01T15:07:00
34,U-19,add_to_cart,2026-05-01T15:09:00
35,U-20,view_item,2026-05-01T18:48:00
36,U-20,add_to_cart,2026-05-01T18:50:00
37,U-21,view_item,2026-05-01T19:46:00
38,U-22,view_item,2026-05-01T01:57:00
39,U-22,add_to_cart,2026-05-01T01:59:00
40,U-23,view_item,2026-05-01T03:08:00
41,U-24,view_item,2026-05-01T10:40:00
42,U-24,add_to_cart,2026-05-01T10:42:00
43,U-24,start_checkout,2026-05-01T10:44:00
44,U-24,purchase,2026-05-01T10:46:00
45,U-25,view_item,2026-05-01T16:57:00
46,U-26,view_item,2026-05-01T21:53:00
47,U-26,add_to_cart,2026-05-01T21:55:00
48,U-27,view_item,2026-05-01T17:48:00
49,U-27,add_to_cart,2026-05-01T17:50:00
50,U-27,start_checkout,2026-05-01T17:52:00
51,U-27,purchase,2026-05-01T17:54:00
52,U-28,view_item,2026-05-01T10:02:00
53,U-28,add_to_cart,2026-05-01T10:04:00
54,U-29,view_item,2026-05-01T22:45:00
55,U-30,view_item,2026-05-01T06:10:00
56,U-31,view_item,2026-05-01T16:37:00
57,U-32,view_item,2026-05-01T19:58:00
58,U-33,view_item,2026-05-01T16:25:00
59,U-34,view_item,2026-05-01T08:40:00
60,U-35,view_item,2026-05-01T14:57:00
61,U-35,add_to_cart,2026-05-01T14:59:00
62,U-36,view_item,2026-05-01T21:41:00
63,U-37,view_item,2026-05-01T09:13:00
64,U-38,view_item,2026-05-01T08:52:00
65,U-38,add_to_cart,2026-05-01T08:54:00
66,U-38,start_checkout,2026-05-01T08:56:00
67,U-38,purchase,2026-05-01T08:58:00
68,U-39,view_item,2026-05-01T20:29:00
69,U-39,add_to_cart,2026-05-01T20:31:00
70,U-39,start_checkout,2026-05-01T20:33:00
71,U-39,purchase,2026-05-01T20:35:00
72,U-40,view_item,2026-05-01T10:05:00
73,U-41,view_item,2026-05-01T02:30:00
74,U-42,view_item,2026-05-01T21:24:00
75,U-42,add_to_cart,2026-05-01T21:26:00
76,U-42,start_checkout,2026-05-01T21:28:00
77,U-43,view_item,2026-05-01T03:57:00
78,U-43,add_to_cart,2026-05-01T03:59:00
79,U-43,start_checkout,2026-05-01T04:01:00
80,U-44,view_item,2026-05-01T17:59:00
81,U-45,view_item,2026-05-01T14:11:00
82,U-46,view_item,2026-05-01T01:17:00
83,U-46,add_to_cart,2026-05-01T01:19:00
84,U-46,start_checkout,2026-05-01T01:21:00
85,U-47,view_item,2026-05-01T15:57:00
86,U-47,add_to_cart,2026-05-01T15:59:00
87,U-48,view_item,2026-05-01T12:52:00
88,U-49,view_item,2026-05-01T18:38:00
89,U-50,view_item,2026-05-01T01:22:00
90,U-51,view_item,2026-05-01T21:20:00
91,U-52,view_item,2026-05-01T13:12:00
92,U-53,view_item,2026-05-01T15:22:00
93,U-53,add_to_cart,2026-05-01T15:24:00
94,U-54,view_item,2026-05-01T02:29:00
95,U-55,view_item,2026-05-01T03:06:00
96,U-55,add_to_cart,2026-05-01T03:08:00
97,U-56,view_item,2026-05-01T02:21:00
98,U-56,add_to_cart,2026-05-01T02:23:00
99,U-56,start_checkout,2026-05-01T02:25:00
100,U-57,view_item,2026-05-01T23:55:00
